Room,Date,Day,Start,Duration,Title,ID,Abstract,Description,Language,Speakers,File URL
mainhall,2018-06-09,3,14:30,00:30,Chrysalis - Interactive Sound Sculpture,9,"Chrysalis is an interactive sound sculpture that relates sustainability, the link of the human being with his environment and the processes that it generates through time. The authors are Carla Colombini (sculptor), Martin Matus and Ezequiel Abregu (sound artists). The sound production system comprises three stages: Input - Process - Feedback. In this work are exposed the technical details of the sound device of the sculpture and the different stages implemented using, mostly, free software and open hardware.","Chrysalis is an interactive sound sculpture that relates sustainability, the link of the human being with his environment and the processes that it generates through time. The authors are Carla Colombini (sculptor), Martin Matus and Ezequiel Abregu (sound artists). The sound production system comprises three stages: Input - Process - Feedback. In this work are exposed the technical details of the sound device of the sculpture and the different stages implemented using, mostly, free software and open hardware.",en,37:Ezequiel Abregu, 
mainhall,2018-06-09,3,14:30,00:30,Ziggurat: A Step Sequencer for Linux,41,"We introduce a new, standalone software sequencer based on the hardware step sequencers common in electronic music production. Ziggurat supports both ALSA and JACK MIDI, and features polymetric sequencing, flexible signal routing, and dynamic sequence manipulation for live performance. This poster presents the motivation, design goals, implementation and status of the project.","We introduce a new, standalone software sequencer based on the hardware step sequencers common in electronic music production. Ziggurat supports both ALSA and JACK MIDI, and features polymetric sequencing, flexible signal routing, and dynamic sequence manipulation for live performance. This poster presents the motivation, design goals, implementation and status of the project.",en,38:Chris Chronopoulos, 
mainhall,2018-06-09,3,15:00,01:30,Lightning Talks,103,A set of lightning talks by you!,A set of lightning talks by you!,en,1:LAC team, 
ceminar,2018-06-09,3,17:00,01:30,Carla Plugin Host - Feature overview and workflows,24,"Carla is a fully-featured audio plugin host with support for many plugin formats, featuring automation of plugin parameters via MIDI CC, remote control over OSC, among others.
This workshop plans to give a quick overview of Carla and go through some workflows together with the audience.","Carla is a fully-featured audio plugin host with support for many plugin formats, featuring automation of plugin parameters via MIDI CC, remote control over OSC, among others.
This workshop plans to give a quick overview of Carla and go through some workflows together with the audience.",en,39:Filipe Coelho, 
mainhall,2018-06-09,3,17:00,02:00,Understanding and being creative with Pure Data’s data structures,26,"Pure Data’s data structures are one of the few core features that distinguish Pd from Max/MSP. Yet, they’re also one of the few modules which are used solely by a small group of users. The main reasons for this would be both the not yet very mature and complete collection of objects, as well as not very intuitive implementation in Pd’s language.
This workshop illustrates the possibilities of Pd’s data structures as a fruitful companion to any Pd user interested in a closer and more flexible interaction with the graphical representation of data.
The first part explains how to program with data structures (and their shortcomings). The second part analyses several examples of “real life” situations (display and control examples, up to complex patches to control / generate music in realtime).
After this workshop, it should be clear how to program with data structures, and integrate them inindividual patches.","Pure Data’s data structures are one of the few core features that distinguish Pd from Max/MSP. Yet, they’re also one of the few modules which are used solely by a small group of users. The main reasons for this would be both the not yet very mature and complete collection of objects, as well as not very intuitive implementation in Pd’s language.
This workshop illustrates the possibilities of Pd’s data structures as a fruitful companion to any Pd user interested in a closer and more flexible interaction with the graphical representation of data.
The first part explains how to program with data structures (and their shortcomings). The second part analyses several examples of “real life” situations (display and control examples, up to complex patches to control / generate music in realtime).
After this workshop, it should be clear how to program with data structures, and integrate them inindividual patches.",en,7:Joao Pais, 
nativespace,2018-06-09,3,21:00,00:15,The Electronic Orchestra Berlin: The Metaphysics of Notation,47,"12 electronic and electroacoustic instruments, live
spatialized on a 12-speaker system - the Electronic
Orchestra Charlottenburg (EOC), a project of the Electronic
Music Studio at TU Berlin, explores means of organizing and
spatializing the seemingly infinite diversity of electronic
sounds in a larger ensemble.

The Metaphysics of Notation (2008), by Mark Applebaum, is a
graphical score with a length of 22 meters, divided into 12
panels.For the interpretation of the score, each instrument is assigned one or several panels. The piece is performed
without a fixed time grid.
The performance will be spatialized using the SSR, PD and
Python, running on a Linux Server with Ubuntu Studio. The
server is remote controlled by the sound director via OSC and various input devices. Inputs and outputs are managed with a RME MADI card and several AD/DA converters.","12 electronic and electroacoustic instruments, live
spatialized on a 12-speaker system - the Electronic
Orchestra Charlottenburg (EOC), a project of the Electronic
Music Studio at TU Berlin, explores means of organizing and
spatializing the seemingly infinite diversity of electronic
sounds in a larger ensemble.

The Metaphysics of Notation (2008), by Mark Applebaum, is a
graphical score with a length of 22 meters, divided into 12
panels.For the interpretation of the score, each instrument is assigned one or several panels. The piece is performed
without a fixed time grid.
The performance will be spatialized using the SSR, PD and
Python, running on a Linux Server with Ubuntu Studio. The
server is remote controlled by the sound director via OSC and various input devices. Inputs and outputs are managed with a RME MADI card and several AD/DA converters.",en,46:Henrik von Coler| 47:David Runge, 
nativespace,2018-06-09,3,21:25,00:10,Pick It Up,49,"Composition for prepared electric guitar and live electronics (SuperCollider), with multichannel spatialization.","Composition for prepared electric guitar and live electronics (SuperCollider), with multichannel spatialization.",en,41:Krzysztof Gawlas, 
nativespace,2018-06-09,3,21:40,00:12,COSMO,21,"COSMO Collective is an open musical collaboration for musicians using DIY electronics and custom software written in Csound. There is no definite musical style, though it could perhaps be characterized as electro-acoustic
improvisation. The focus is on the exploration of sound and timbre, rather than traditional harmonics and rhythm, and exploiting the powers of Csound in this pursuit.","COSMO Collective is an open musical collaboration for musicians using DIY electronics and custom software written in Csound. There is no definite musical style, though it could perhaps be characterized as electro-acoustic
improvisation. The focus is on the exploration of sound and timbre, rather than traditional harmonics and rhythm, and exploiting the powers of Csound in this pursuit.",en,43:Alex Hofmann, 
nativespace,2018-06-09,3,22:30,00:15,Tessellations,23,"Tessellations plays with the repetition of material generated by manipulating the interval structure of the chord and submitting it to short processes that I generate myself in Python and execute them inside PD with the py object. This piece is an experimentation on the way I link time, material and narrative. The “tessellated” object not only morphs the musical material but also the space where it occurs and the performer responsible for it – player or computer –. Furthermore, the piece has 2 solos, one in which the performer improvises based on visual cues and musical anchor points, and the other which was generated algorithmically and is “written” on the score, this incorporates the idea of the act of composition as the tessellated object itself.","Tessellations plays with the repetition of material generated by manipulating the interval structure of the chord and submitting it to short processes that I generate myself in Python and execute them inside PD with the py object. This piece is an experimentation on the way I link time, material and narrative. The “tessellated” object not only morphs the musical material but also the space where it occurs and the performer responsible for it – player or computer –. Furthermore, the piece has 2 solos, one in which the performer improvises based on visual cues and musical anchor points, and the other which was generated algorithmically and is “written” on the score, this incorporates the idea of the act of composition as the tessellated object itself.",en,44:José Rafael Subía Valdez, 
nativespace,2018-06-09,3,22:47,00:30,mathr performs with Clive,22,"Claude Heiland-Allen (https://mathr.co.uk) is an artist from London interested in the complex emergent behaviour of simple systems, unusual geometries, and mathematical aesthetics.

Clive is an audio live-coding skeleton, implemented in C. It supports a two-phase edit-commit coding cycle allowing long-lived signal processing graphs to be modified without interrupting the sound.

Performance with Clive usually involves pre-preparation, from simple unit generators up to more complete compositions. The live-coding aspect involves editing a file in the performer’s favourite text editor, with the act of saving with Ctrl-S or other shortcut being timed to allow the new code to start executing in sync after the latency of compilation.","Claude Heiland-Allen (https://mathr.co.uk) is an artist from London interested in the complex emergent behaviour of simple systems, unusual geometries, and mathematical aesthetics.

Clive is an audio live-coding skeleton, implemented in C. It supports a two-phase edit-commit coding cycle allowing long-lived signal processing graphs to be modified without interrupting the sound.

Performance with Clive usually involves pre-preparation, from simple unit generators up to more complete compositions. The live-coding aspect involves editing a file in the performer’s favourite text editor, with the act of saving with Ctrl-S or other shortcut being timed to allow the new code to start executing in sync after the latency of compilation.",en,45:Claude Heiland-Allen, 
ceminar,2018-06-10,4,11:00,01:00,How to create real-time audio appliances with Debian GNU/Linux,30,"This hands-on workshop will introduce participants to methods for creating single-purpose GNU/Linux distributions for inexpensive ARM boards like the Raspberry Pi 3, and open source hardware including the BeagleBone Black. There will be an emphasis on optimising performance for demanding real-time audio applications such as xwax, as used in the PiDeck[1] project. Issues of maintainability, field upgrades and security will also be covered.","This hands-on workshop will introduce participants to methods for creating single-purpose GNU/Linux distributions for inexpensive ARM boards like the Raspberry Pi 3, and open source hardware including the BeagleBone Black. There will be an emphasis on optimising performance for demanding real-time audio applications such as xwax, as used in the PiDeck[1] project. Issues of maintainability, field upgrades and security will also be covered.",en,48:Daniel James| 49:Christopher Obbard, 
mainhall,2018-06-10,4,11:00,00:30,Jacktools - Realtime Audio Processors as Python Classes,46,"This paper introduces a set of real-time audio processing blocks that can be used as components in Python scripts. Each of them is both a Jack client and a Python class. The full power of Python can be used to control these modules, to combine them into systems of arbitrary complexity, and to interface them to anything that can be controlled from Python. The rationale behind this approach, some of the the implementations details, and possible applications are discussed.","This paper introduces a set of real-time audio processing blocks that can be used as components in Python scripts. Each of them is both a Jack client and a Python class. The full power of Python can be used to control these modules, to combine them into systems of arbitrary complexity, and to interface them to anything that can be controlled from Python. The rationale behind this approach, some of the the implementations details, and possible applications are discussed.",en,50:Fons Adriaensen, 
mainhall,2018-06-10,4,11:30,00:30,Distributed time-centric APIs with CLAPI,54,"Distributed control of applications by multiple simultaneous devices has traditionally been achieved via protocols such as MIDI or OSC. These simple protocols require additional semantics, often communicated out of band, in order to construct meaningful APIs.
We present the Concert Light-weight API (CLAPI) framework: a session-based pub/sub API framework that aims to simplify the definition and usage of semantic, time-centric distributed controls.","Distributed control of applications by multiple simultaneous devices has traditionally been achieved via protocols such as MIDI or OSC. These simple protocols require additional semantics, often communicated out of band, in order to construct meaningful APIs.
We present the Concert Light-weight API (CLAPI) framework: a session-based pub/sub API framework that aims to simplify the definition and usage of semantic, time-centric distributed controls.",en,51:Paul Weaver| 52:David Honour, 
mainhall,2018-06-10,4,12:00,01:00,Pro-audio on Arch Linux (revisited),34,"This workshop will be a recap and show-case on pro-audio packaging and end-user appliances on Arch Linux. The emphasis will be on direct best practices and use-cases, beginning with a short introduction to important changes applied to the [community] repository over the past months.
The workshop is meant as an entry point for long standing, new or only interested (and maybe soon to be) Arch Linux users to the use of pro-audio software.","This workshop will be a recap and show-case on pro-audio packaging and end-user appliances on Arch Linux. The emphasis will be on direct best practices and use-cases, beginning with a short introduction to important changes applied to the [community] repository over the past months.
The workshop is meant as an entry point for long standing, new or only interested (and maybe soon to be) Arch Linux users to the use of pro-audio software.",en,47:David Runge, 
ceminar,2018-06-10,4,14:00,01:30,QjackCtl Considered Harmful,33,"The proposed talk/workshop is yet again the follow-up on the tradition of LAC2013@IEM-Graz, LAC2014@ZKM-Karlsruhe, LAC2015@JGU-Mainz, LAC2016@c-base.org-Berlin and LAC2017@UJM-St.Etienne, as an informal manifest (but not exclusive) to the Qstuff* software collection. The future of QjackCtl [1] and the JACK-Audio-Connectionm-Kit, as the main Linux Audio infrastructure, shall be the main subject. Yours truly Qtractor [7], an audio/MIDI multi-track sequencer should be also of concern for discussion. All developers and users are kindly invited to discuss, complain and more importantly, exchange thoughts about the present, future and legacy of all the Qstuff*.

References:

[1] QjackCtl - A JACK Audio Connection Kit Qt GUI Interface
https://qjackctl.sourceforge.io

[2] Qsynth - A fluidsynth Qt GUI Interface
https://qsynth.sourceforge.io

[3] Qsampler - A LinuxSampler Qt GUI Interface
https://qsampler.sourceforge.io

[4] QXGEdit - A Qt XG Editor
https://qxgedit.sourceforge.io

[5] QmidiCtl - A MIDI Remote Controller via UDP/IP Multicast
https://qmidictl.sourceforge.io

[6] QmidiNet - A MIDI Network Gateway via UDP/IP Multicast
https://qmidinet.sourceforge.io

[7] Qtractor - An audio/MIDI multi-track sequencer
https://qtractor.sourceforge.io

[8] synthv1 - an old-school polyphonic synthesizer
https://synthv1.sourceforge.io

[9] samplv1 - an old-school polyphonic sampler
https://samplv1.sourceforge.io

[10] drumkv1 - an old-school drum-kit sampler
https://drumkv1.sourceforge.io

[11] padthv1 - an old-school polyphonic additive synthesizer
https://padthv1.sourceforge.io
","The proposed talk/workshop is yet again the follow-up on the tradition of LAC2013@IEM-Graz, LAC2014@ZKM-Karlsruhe, LAC2015@JGU-Mainz, LAC2016@c-base.org-Berlin and LAC2017@UJM-St.Etienne, as an informal manifest (but not exclusive) to the Qstuff* software collection. The future of QjackCtl [1] and the JACK-Audio-Connectionm-Kit, as the main Linux Audio infrastructure, shall be the main subject. Yours truly Qtractor [7], an audio/MIDI multi-track sequencer should be also of concern for discussion. All developers and users are kindly invited to discuss, complain and more importantly, exchange thoughts about the present, future and legacy of all the Qstuff*.

References:

[1] QjackCtl - A JACK Audio Connection Kit Qt GUI Interface
https://qjackctl.sourceforge.io

[2] Qsynth - A fluidsynth Qt GUI Interface
https://qsynth.sourceforge.io

[3] Qsampler - A LinuxSampler Qt GUI Interface
https://qsampler.sourceforge.io

[4] QXGEdit - A Qt XG Editor
https://qxgedit.sourceforge.io

[5] QmidiCtl - A MIDI Remote Controller via UDP/IP Multicast
https://qmidictl.sourceforge.io

[6] QmidiNet - A MIDI Network Gateway via UDP/IP Multicast
https://qmidinet.sourceforge.io

[7] Qtractor - An audio/MIDI multi-track sequencer
https://qtractor.sourceforge.io

[8] synthv1 - an old-school polyphonic synthesizer
https://synthv1.sourceforge.io

[9] samplv1 - an old-school polyphonic sampler
https://samplv1.sourceforge.io

[10] drumkv1 - an old-school drum-kit sampler
https://drumkv1.sourceforge.io

[11] padthv1 - an old-school polyphonic additive synthesizer
https://padthv1.sourceforge.io
",en,55:Rui Nuno Capela, 
mainhall,2018-06-10,4,14:00,01:00,LMMS 1.2: Changes and Improvements,36,A workshop focused on showcasing the new features and improvements of LMMS version 1.2 as well as an open discussion on the future of the software itself. The workshop is suitable for musicians and developers alike.,A workshop focused on showcasing the new features and improvements of LMMS version 1.2 as well as an open discussion on the future of the software itself. The workshop is suitable for musicians and developers alike.,en,31:Uroš Maravić| 56:Tres Finocchiaro, 
mainhall,2018-06-10,4,16:00,00:30,Closing speech,104,A short closing speech by the team.,A short closing speech by the team.,en,1:LAC team, 
